College Code,College Name,District,Type,EIIN,Address
2621,NACHOLE WOMEN'S COLLEGE,NAWABGONJ,Non Govt.,124486,NACHOLE
2622,NAMOSONKARBATI COLLEGE,NAWABGONJ,Non Govt.,124595,NAMOSONKARBATI
2624,ROHANPUR MOHILA COLLEGE,NAWABGONJ,Non Govt.,124417,ROHANPUR
2625,SHYAMPUR HAZI MOMTAJ MIAH DEGREE COLLEGE,NAWABGONJ,Non Govt.,124739,SHYAMPUR
2626,NAWABGANJ CITY COLLEGE,NAWABGONJ,Non Govt.,124596,PURATON
2627,ALHAJ ABDUS SAMAD COLLEGE,NAWABGONJ,Non Govt.,124602,SUNDORPUR
2628,RANIHATI COLLEGE,NAWABGONJ,Non Govt.,124748,"RANIHATI, SHIBGANJ"
2629,SHAHID SRETI COLLEGE,NAWABGONJ,Non Govt.,124488,
2630,JAMBARIA COLLEGE,NAWABGONJ,Non Govt.,124349,"Bholahat,"
2631,RADHANAGAR BARENDRA COLLEGE,NAWABGONJ,Non Govt.,124421,Gomastapur
2632,ROHANPUR P.M. IDEAL COLLEGE,NAWABGONJ,Non Govt.,124419,ROHANPUR
2101,GOVT. EDWARD COLLEGE,PABNA,Govt.,125663,PABNA
2102,SHAHID BULBUL GOVT. COLLEGE,PABNA,Govt.,125664,ATAIKULA ROAD
2103,BASHER BADA COLLEGE,PABNA,Non Govt.,125556,"BANSHER BADA, ISHWARDI"
2104,PABNA COLLEGE (DAY/NIGHT),PABNA,Non Govt.,332104,SHA ALAM ROAD
2105,PABNA GOVT. MAHILA COLLEGE,PABNA,Govt.,125665,DILALPUR
2106,GOVT. HAJI JAMALUDDIN COLLEGE,PABNA,Govt.,125371,"CHAWBARIA, BHANGOORA"
2107,GOVT. MOHAMMAD YASIN COLLEGE,PABNA,Govt.,125489,BANWARINAGAR
2108,BERA GOVERNMENT COLLEGE,PABNA,Govt.,125329,BERA
2109,SANTHIA GOVT. COLLEGE,PABNA,Govt.,125742,BOILMARI
2110,SHAHEED NURUL HOSSAIN COLLEGE,PABNA,Non Govt.,125744,KASHINATHPUR
2111,MADHPUR AMENA KHATUN COLLEGE,PABNA,Non Govt.,125745,ATAIKULA
2112,GOVERNMENT ISWARDI COLLEGE,PABNA,Govt.,125552,ISHWARDI
2113,PAKSHI RAILWAY COLLEGE,PABNA,Non Govt.,125555,"PAKSEY, ISHWARDI"
2114,CHATMOHAR GOVT. COLLEGE,PABNA,Govt.,125454,CHATMOHAR
2115,ISWARDI MAHILA DEGREE COLLEGE,PABNA,Non Govt.,125553,ISHWARDI
2116,DASHURIA COLLEGE,PABNA,Non Govt.,125554,DASHURIA
2117,MIRZAPUR COLLEGE,PABNA,Non Govt.,125451,ASTOMONISHA
2118,MANJUR KADER MAHILA COLLEGE,PABNA,Non Govt.,125330,"BERA, PABNA"
2119,DEBOTTAR COLLEGE,PABNA,Non Govt.,125298,DEBOTTAR
2120,HAJI JASHIMUDDIN COLLEGE,PABNA,Non Govt.,125656,"DUBLIA, PABNA"
2121,CHAIKOLA DEGREE COLLEGE,PABNA,Non Govt.,125452,CHAIKOLA
2122,SAMSUL HUDA DEGREE COLLEGE,PABNA,Non Govt.,125654,"TEBUNIA, MALIGACHA"
2123,DR. ZAHURUL KAMAL DEGREE COLLEGE,PABNA,Govt.,125790,DULAI
2124,PROFESSOR BOYEN UDDIN DEGREE COLLEGE,PABNA,Non Govt.,125453,POST: PANCHURIA
2125,KHIDIRPUR DEGREE COLLEGE,PABNA,Non Govt.,125303,KHIDIRPUR BAZAR
2126,SHAHID M. MANSUR ALI COLLEGE,PABNA,Non Govt.,125659,"SHALGARIA, PABNA"
2127,PARKHIDIR PUR DEGREE COLLEGE,PABNA,Non Govt.,125302,PARKHIDIRPUR
2128,CHATMOHAR WOMEN'S DEGREE COLLEGE,PABNA,Non Govt.,125455,CHATMOHAR NBAZAR
2129,PABNA ISLAMIA (DEGREE) COLLEGE,PABNA,Non Govt.,125660,LASKAR PUR
2130,SANTHIA MOHILA DEGREE COLLEGE,PABNA,Non Govt.,125743,"SANTHIA, PABNA"
2131,SHAHID AMINUDDIN LAW COLLEGE,PABNA,Non Govt.,133587,Rupkhata Road
2132,PABNA B. ED. COLLEGE,PABNA,Non Govt.,,Bera
2134,GOVT. TEACHERS' TRAINING COLLEGE,PABNA,Govt.,,"Sdaar, Pabna"
2135,"PAKSHI COLLEGE OF PHYSICAL EDUCATION, PAKSHI",PABNA,Non Govt.,,"PAKSHI, ISHURDI"
