orgid,approved_url
4549094,https://erp.dypakurdipune.edu.in/login.htm;jsessionid=DD61AB25C44620CDEBCD86A2DC96CB6F
4549094,https://online.msbte.co.in/msbte25/auth/sign-in?master=Candidate
4637139,https://aktu.samarth.edu.in/index.php/site/login
4773412,https://pdace.samarth.edu.in/index.php/site/login
4777858,https://biharengineering.samarth.edu.in/index.php/site/login
4815144,https://sim.unipune.ac.in/sim_app/login/login
4817924,https://mu.samarth.edu.in/index.php/site/login
4829459,https://payonline.puchd.ac.in/sign-in
4829459,https://ugexam.puexam.in/Login.aspx?Status=CU
4829776,https://mu.samarth.edu.in/index.php/site/login
4832492,https://erp.iecerp.in/auth/login
5407549,https://mu.samarth.edu.in/index.php/site/login
5411968,https://campusmoodle.unipune.ac.in/login/index.php
5411968,https://eclm.unipune.ac.in/login.aspx
5411968,https://sim.unipune.ac.in/sim_app/Login/Login
5411968,https://sol.unipune.ac.in/login/login/studentlogin
5429138,https://mu.samarth.edu.in/index.php/site/login
5429182,https://cus.samarth.edu.in/index.php/site/login
5429418,https://student.svu.edu.in/
5429593,https://sferp.sandipuniversity.com/login/index/student
5432677,https://www.sdnbvc.com/sdnbvc/website2015/htmls/admpayment/admfeepaylogin.htm
5432677,https://www.sdnbvc.com/studTrans/studlogin.asp
5432788,https://www.osguerp.in/StudentLogin.aspx
5741882,https://product.cleverground.com/#/login
5818481,https://mu.samarth.edu.in/index.php/site/login
5819764,https://datavista.in/cms/student/Ext/auth/registration.php?sectionmaster_Id=17
5819764,https://datavista.in/cms/student/Int/auth/login.php?sectionmaster_Id=16
5877335,https://dbatu.samarth.edu.in/index.php/site/login
5877335,https://learner.pceterp.in/
5877335,https://ncer.nmvpmerp.com/studentinfosys/studentportal/studinfo_studlogin.aspx
5877698,https://webprosindia.com/psce/
5879237,https://edyugsolutions.com/mmh_bca_bba/
5978747,https://connectsr.in/
6797651,https://mis.gcekarad.ac.in/GCEKMIS/iitmsv4eGq0RuNHb0G5WbhLmTKLmTO7YBcJ4RHuXxCNPvuIw=?enc=VkmxevzBcWWxrhMpzAa5iGbQRW+9E0bvJQWQr/ELfBc=
6799467,https://msrcasc.linways.com/ams/student/login
6802348,https://aluexam.com/login
6804980,https://nitant.samarth.edu.in/index.php/site/login
6804980,https://nitarec.samarth.edu.in/index.php/site/index
7578275,https://uprtou.samarth.edu.in/index.php/site/login
